--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
074.500  000.057  000.057: require('luasnip.util.vimversion')
074.503  000.127  000.070: require('luasnip.util.util')
074.619  000.053  000.053: require('luasnip.nodes.key_indexer')
074.675  000.056  000.056: require('luasnip.util.feedkeys')
074.678  000.174  000.065: require('luasnip.nodes.util')
074.793  000.054  000.054: require('luasnip.session.snippet_collection.source')
074.851  000.057  000.057: require('luasnip.util.table')
074.908  000.056  000.056: require('luasnip.util.auto_table')
074.911  000.232  000.065: require('luasnip.session.snippet_collection')
075.084  000.056  000.056: require('luasnip.util.select')
075.136  000.052  000.052: require('luasnip.util.time')
075.508  000.542  000.434: require('luasnip.util._builtin_vars')
075.527  000.615  000.073: require('luasnip.util.environ')
075.583  000.055  000.055: require('luasnip.util.extend_decorator')
075.717  000.077  000.077: require('luasnip.util.path')
075.858  000.082  000.082: require('luasnip.util.log')
075.861  000.143  000.061: require('luasnip.loaders.util')
075.913  000.052  000.052: require('luasnip.loaders.data')
075.986  000.072  000.072: require('luasnip.loaders.fs_watchers')
075.988  000.405  000.061: require('luasnip.loaders')
075.996  001.704  000.096: require('luasnip')
076.015  004.081  000.185: sourcing /Users/mattjennings/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
076.017  004.108  000.027: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.063  000.016  000.016: sourcing /Users/mattjennings/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
076.064  000.043  000.027: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.074  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.079  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.156  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.160  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.324  000.058  000.058: require('cmp.utils.api')
076.429  000.051  000.051: require('cmp.types.cmp')
076.540  000.056  000.056: require('cmp.utils.misc')
076.548  000.118  000.062: require('cmp.types.lsp')
076.629  000.080  000.080: require('cmp.types.vim')
076.630  000.305  000.056: require('cmp.types')
076.680  000.049  000.049: require('cmp.utils.highlight')
076.779  000.048  000.048: require('cmp.utils.debug')
076.782  000.101  000.053: require('cmp.utils.autocmd')
076.893  000.003  000.003: sourcing nvim_exec2() called at /Users/mattjennings/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
076.895  000.656  000.140: sourcing /Users/mattjennings/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
076.896  000.682  000.025: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.899  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
076.903  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
077.186  000.093  000.093: require('cmp.utils.char')
077.191  000.154  000.060: require('cmp.utils.str')
077.383  000.063  000.063: require('cmp.utils.buffer')
